State,2012-Democrat,2012-Republican,2012-Other Parties,2012-Total Votes,2008-Democrat,2008-Republican,2008-Other Parties,2008-Total Votes,2004-Democrat,2004-Republican,2004-Other Parties,2004-Total  Votes,2000-Democrat,2000-Republican,2000-Other Parties,2000-Total Votes
SC,865941,1071645,26532,1964118,862449,1034896,23624,1920969,"937,974","661,699",3520642,"1,615,606","786,892","566,037","2,968,535","1,383,902"
SD,145039,210610,8166,363815,170924,203054,7997,381975,"232,584","149,244",763803,"388,215","190,700","118,804","697,719","316,269"
TN,960709,1462330,33799,2456838,1087437,1479178,33134,2599749,"1,384,375","1,036,477",5020601,"2,437,319","1,061,949","981,720","4,480,988","2,075,753"
TX,3308124,4569843,115884,7993851,3528633,4479328,69834,8077795,"4,526,917","2,832,704",15437416,"7,410,749","3,799,639","2,433,746","13,644,134","6,407,637"
UT,251813,740600,24595,1017008,327670,596030,18978,942678,"663,742","241,199",1847619,"912,728","515,096","203,053","1,630,877","766,697"
VT,199239,92698,7353,299290,219262,98974,6810,325046,"121,180","184,067",630293,"312,309","119,775","149,022","581,106","293,794"
VA,1971820,1822522,52901,3847243,1959532,1725005,32368,3716905,"1,716,959","1,454,742",6888606,"3,192,894","1,437,490","1,217,290","5,847,674","2,736,640"
WA,1755396,1290670,79450,3125516,1750848,1229216,56814,3036878,"1,304,894","1,510,201",5851973,"2,859,084","1,108,864","1,247,652","5,215,600","2,487,433"
WV,238230,417584,14742,670556,303857,397466,12128,713451,"423,778","326,541",1463770,"755,887","336,473","295,497","1,387,857","648,251"
WI,1620985,1407966,31818,3071434,1677211,1262393,36752,2976356,"1,478,120","1,489,504",5943980,"2,997,007 3","1,237,279","1,242,987","2,480,266","2,598,607"
WY,69286,170962,8813,249061,82868,164958,5311,253137,"167,629","70,776",491542,"242,948","147,947","60,481","451,376","213,726"
Totals,65446032,60589084,2518731,128556837,69297997,59597520,2137282,131032799,"62,039,073","59,027,478",252099350,"122,284,939","50,456,062","50,996,582","223,737,583","105,363,298"
